tf_TFClass	class	family	subfamily	num_class_motifs	num_family_motifs	num_subfamily_motifs	class_motifs	family_motifs	subfamily_motifs
Arid3b	ARID3B (BDP, DRIL2)	ARID/BRIGHT	ARID-related factors	ARID3	5	6	3	ENSMUSG00000004661_LINE10_Arid3b_D,ENSMUSG00000019564_LINE13_Arid3a_D_N3,ENSMUSG00000019947_LINE15_Arid5b_D,ENSMUSG00000037447_LINE18_Arid5a_D,ENSMUSG00000066224_LINE24_Arid3c_I	ENSMUSG00000004661_LINE10_Arid3b_D,ENSMUSG00000019564_LINE13_Arid3a_D_N3,ENSMUSG00000019947_LINE15_Arid5b_D,ENSMUSG00000037447_LINE18_Arid5a_D,ENSMUSG00000066224_LINE24_Arid3c_I,ENSMUSG00000033237_LINE27_Arid2_I	ENSMUSG00000004661_LINE10_Arid3b_D,ENSMUSG00000019564_LINE13_Arid3a_D_N3,ENSMUSG00000066224_LINE24_Arid3c_I
Arid3a	ARID3A (Bright, DRIL1, DRIL3, DRX, E2FBP1)	ARID/BRIGHT	ARID-related factors	ARID3	5	6	3	ENSMUSG00000004661_LINE10_Arid3b_D,ENSMUSG00000019564_LINE13_Arid3a_D_N3,ENSMUSG00000019947_LINE15_Arid5b_D,ENSMUSG00000037447_LINE18_Arid5a_D,ENSMUSG00000066224_LINE24_Arid3c_I	ENSMUSG00000004661_LINE10_Arid3b_D,ENSMUSG00000019564_LINE13_Arid3a_D_N3,ENSMUSG00000019947_LINE15_Arid5b_D,ENSMUSG00000037447_LINE18_Arid5a_D,ENSMUSG00000066224_LINE24_Arid3c_I,ENSMUSG00000033237_LINE27_Arid2_I	ENSMUSG00000004661_LINE10_Arid3b_D,ENSMUSG00000019564_LINE13_Arid3a_D_N3,ENSMUSG00000066224_LINE24_Arid3c_I
Arid5b	ARID5B (DESRT, MRF2)	ARID/BRIGHT	ARID-related factors	ARID5	5	6	2	ENSMUSG00000004661_LINE10_Arid3b_D,ENSMUSG00000019564_LINE13_Arid3a_D_N3,ENSMUSG00000019947_LINE15_Arid5b_D,ENSMUSG00000037447_LINE18_Arid5a_D,ENSMUSG00000066224_LINE24_Arid3c_I	ENSMUSG00000004661_LINE10_Arid3b_D,ENSMUSG00000019564_LINE13_Arid3a_D_N3,ENSMUSG00000019947_LINE15_Arid5b_D,ENSMUSG00000037447_LINE18_Arid5a_D,ENSMUSG00000066224_LINE24_Arid3c_I,ENSMUSG00000033237_LINE27_Arid2_I	ENSMUSG00000019947_LINE15_Arid5b_D,ENSMUSG00000037447_LINE18_Arid5a_D
Arid5a	ARID5A (MRF1)	ARID/BRIGHT	ARID-related factors	ARID5	5	6	2	ENSMUSG00000004661_LINE10_Arid3b_D,ENSMUSG00000019564_LINE13_Arid3a_D_N3,ENSMUSG00000019947_LINE15_Arid5b_D,ENSMUSG00000037447_LINE18_Arid5a_D,ENSMUSG00000066224_LINE24_Arid3c_I	ENSMUSG00000004661_LINE10_Arid3b_D,ENSMUSG00000019564_LINE13_Arid3a_D_N3,ENSMUSG00000019947_LINE15_Arid5b_D,ENSMUSG00000037447_LINE18_Arid5a_D,ENSMUSG00000066224_LINE24_Arid3c_I,ENSMUSG00000033237_LINE27_Arid2_I	ENSMUSG00000019947_LINE15_Arid5b_D,ENSMUSG00000037447_LINE18_Arid5a_D
Arid3c	ARID3C	ARID/BRIGHT	ARID-related factors	ARID3	5	6	3	ENSMUSG00000004661_LINE10_Arid3b_D,ENSMUSG00000019564_LINE13_Arid3a_D_N3,ENSMUSG00000019947_LINE15_Arid5b_D,ENSMUSG00000037447_LINE18_Arid5a_D,ENSMUSG00000066224_LINE24_Arid3c_I	ENSMUSG00000004661_LINE10_Arid3b_D,ENSMUSG00000019564_LINE13_Arid3a_D_N3,ENSMUSG00000019947_LINE15_Arid5b_D,ENSMUSG00000037447_LINE18_Arid5a_D,ENSMUSG00000066224_LINE24_Arid3c_I,ENSMUSG00000033237_LINE27_Arid2_I	ENSMUSG00000004661_LINE10_Arid3b_D,ENSMUSG00000019564_LINE13_Arid3a_D_N3,ENSMUSG00000066224_LINE24_Arid3c_I
Arid2	ARID2 (BAF200)	ARID/BRIGHT,RFX	ARID-related factors	ARID2	1	6	1	ENSMUSG00000033237_LINE27_Arid2_I	ENSMUSG00000004661_LINE10_Arid3b_D,ENSMUSG00000019564_LINE13_Arid3a_D_N3,ENSMUSG00000019947_LINE15_Arid5b_D,ENSMUSG00000037447_LINE18_Arid5a_D,ENSMUSG00000066224_LINE24_Arid3c_I,ENSMUSG00000033237_LINE27_Arid2_I	ENSMUSG00000033237_LINE27_Arid2_I
Setbp1	NA	AT hook	NA	NA	5	NA	NA	ENSMUSG00000024548_LINE28_Setbp1_D,ENSMUSG00000026491_LINE29_Ahctf1_D,ENSMUSG00000056758_LINE31_Hmga2_D,ENSMUSG00000058318_LINE32_Phf21a_D,ENSMUSG00000046711_LINE73_Hmga1_I_N2	ENSMUSG00000024548_LINE28_Setbp1_D	ENSMUSG00000024548_LINE28_Setbp1_D
Ahctf1	NA	AT hook	NA	NA	5	NA	NA	ENSMUSG00000024548_LINE28_Setbp1_D,ENSMUSG00000026491_LINE29_Ahctf1_D,ENSMUSG00000056758_LINE31_Hmga2_D,ENSMUSG00000058318_LINE32_Phf21a_D,ENSMUSG00000046711_LINE73_Hmga1_I_N2	ENSMUSG00000026491_LINE29_Ahctf1_D	ENSMUSG00000026491_LINE29_Ahctf1_D
Hmga2	HMGA2 (HMGI-C)	AT hook	HMGA factors	NA	5	2	NA	ENSMUSG00000024548_LINE28_Setbp1_D,ENSMUSG00000026491_LINE29_Ahctf1_D,ENSMUSG00000056758_LINE31_Hmga2_D,ENSMUSG00000058318_LINE32_Phf21a_D,ENSMUSG00000046711_LINE73_Hmga1_I_N2	ENSMUSG00000056758_LINE31_Hmga2_D,ENSMUSG00000046711_LINE73_Hmga1_I_N2	ENSMUSG00000056758_LINE31_Hmga2_D
Phf21a	NA	AT hook	NA	NA	5	NA	NA	ENSMUSG00000024548_LINE28_Setbp1_D,ENSMUSG00000026491_LINE29_Ahctf1_D,ENSMUSG00000056758_LINE31_Hmga2_D,ENSMUSG00000058318_LINE32_Phf21a_D,ENSMUSG00000046711_LINE73_Hmga1_I_N2	ENSMUSG00000058318_LINE32_Phf21a_D	ENSMUSG00000058318_LINE32_Phf21a_D
