motif	tf	origin	gene_id	family	name	symbol	motif_tf
ENSMUSG00000004661_LINE10_Arid3b_D	Arid3b	CIS-BP	ENSMUSG00000004661	ARID/BRIGHT	NA	NA	NA
ENSMUSG00000019564_LINE13_Arid3a_D_N3	Arid3a	CIS-BP	ENSMUSG00000019564	ARID/BRIGHT	NA	NA	NA
ENSMUSG00000019947_LINE15_Arid5b_D	Arid5b	CIS-BP	ENSMUSG00000019947	ARID/BRIGHT	NA	NA	NA
ENSMUSG00000037447_LINE18_Arid5a_D	Arid5a	CIS-BP	ENSMUSG00000037447	ARID/BRIGHT	NA	NA	NA
ENSMUSG00000066224_LINE24_Arid3c_I	Arid3c	CIS-BP	ENSMUSG00000066224	ARID/BRIGHT	NA	NA	NA
ENSMUSG00000033237_LINE27_Arid2_I	Arid2	CIS-BP	ENSMUSG00000033237	ARID/BRIGHT,RFX	NA	NA	NA
ENSMUSG00000024548_LINE28_Setbp1_D	Setbp1	CIS-BP	ENSMUSG00000024548	AT hook	NA	NA	NA
ENSMUSG00000026491_LINE29_Ahctf1_D	Ahctf1	CIS-BP	ENSMUSG00000026491	AT hook	NA	NA	NA
ENSMUSG00000056758_LINE31_Hmga2_D	Hmga2	CIS-BP	ENSMUSG00000056758	AT hook	NA	NA	NA
ENSMUSG00000058318_LINE32_Phf21a_D	Phf21a	CIS-BP	ENSMUSG00000058318	AT hook	NA	NA	NA
ENSMUSG00000071262_LINE33_Zfp957_I	Zfp957	CIS-BP	ENSMUSG00000071262	NA	NA	NA	NA
ENSMUSG00000000282_LINE38_Mnt_D	Mnt	CIS-BP	ENSMUSG00000000282	bHLH	NA	NA	NA
ENSMUSG00000001988_LINE41_Npas1_I	Npas1	CIS-BP	ENSMUSG00000001988	bHLH	NA	NA	NA
ENSMUSG00000007805_LINE47_Twist2_D	Twist2	CIS-BP	ENSMUSG00000007805	bHLH	NA	NA	NA
ENSMUSG00000007872_LINE48_Id3_I	Id3	CIS-BP	ENSMUSG00000007872	NA	NA	NA	NA
ENSMUSG00000009248_LINE50_Ascl2_D_N2	Ascl2	CIS-BP	ENSMUSG00000009248	bHLH	NA	NA	NA
ENSMUSG00000009471_LINE51_Myod1_D	Myod1	CIS-BP	ENSMUSG00000009471	bHLH	NA	NA	NA
ENSMUSG00000015522_LINE52_Arnt_D_N2	Arnt	CIS-BP	ENSMUSG00000015522	bHLH	NA	NA	NA
ENSMUSG00000015709_LINE54_Arnt2_D	Arnt2	CIS-BP	ENSMUSG00000015709	bHLH	NA	NA	NA
ENSMUSG00000017801_LINE55_Mlx_D_N3	Mlx	CIS-BP	ENSMUSG00000017801	bHLH	NA	NA	NA
ENSMUSG00000019256_LINE58_Ahr_I	Ahr	CIS-BP	ENSMUSG00000019256	bHLH	NA	NA	NA
ENSMUSG00000019789_LINE59_Hey2_D	Hey2	CIS-BP	ENSMUSG00000019789	bHLH	NA	NA	NA
ENSMUSG00000019913_LINE60_Sim1_I	Sim1	CIS-BP	ENSMUSG00000019913	bHLH	NA	NA	NA
ENSMUSG00000020167_LINE64_Tcf3_D_N3	Tcf3	CIS-BP	ENSMUSG00000020167	bHLH	NA	NA	NA
ENSMUSG00000020538_LINE66_Srebf1_D_N2	Srebf1	CIS-BP	ENSMUSG00000020538	bHLH	NA	NA	NA
ENSMUSG00000020644_LINE69_Id2_D	Id2	CIS-BP	ENSMUSG00000020644	NA	NA	NA	NA
ENSMUSG00000021010_LINE71_Npas3_I	Npas3	CIS-BP	ENSMUSG00000021010	bHLH	NA	NA	NA
ENSMUSG00000021379_LINE72_Id4_I	Id4	CIS-BP	ENSMUSG00000021379	NA	NA	NA	NA
ENSMUSG00000021575_LINE74_Ahrr_I	Ahrr	CIS-BP	ENSMUSG00000021575	bHLH	NA	NA	NA
ENSMUSG00000022346_LINE75_Myc_D	Myc	CIS-BP	ENSMUSG00000022346	bHLH	NA	NA	NA
ENSMUSG00000022463_LINE76_Srebf2_D	Srebf2	CIS-BP	ENSMUSG00000022463	bHLH	NA	NA	NA
ENSMUSG00000022528_LINE77_Hes1_D	Hes1	CIS-BP	ENSMUSG00000022528	bHLH	NA	NA	NA
ENSMUSG00000023781_LINE78_Hes7_D	Hes7	CIS-BP	ENSMUSG00000023781	bHLH	NA	NA	NA
ENSMUSG00000025128_LINE82_Bhlhe22_D	Bhlhe22	CIS-BP	ENSMUSG00000025128	bHLH	NA	NA	NA
ENSMUSG00000025930_LINE83_Msc_D	Msc	CIS-BP	ENSMUSG00000025930	bHLH	NA	NA	NA
ENSMUSG00000026077_LINE84_Npas2_D	Npas2	CIS-BP	ENSMUSG00000026077	bHLH	NA	NA	NA
ENSMUSG00000026459_LINE85_Myog_D	Myog	CIS-BP	ENSMUSG00000026459	bHLH	NA	NA	NA
ENSMUSG00000026641_LINE86_Usf1_D	Usf1	CIS-BP	ENSMUSG00000026641	bHLH	NA	NA	NA
ENSMUSG00000026735_LINE87_Ptf1a_I	Ptf1a	CIS-BP	ENSMUSG00000026735	bHLH	NA	NA	NA
ENSMUSG00000027794_LINE89_Sohlh2_D	Sohlh2	CIS-BP	ENSMUSG00000027794	bHLH	NA	NA	NA
ENSMUSG00000027967_LINE90_Neurog2_I	Neurog2	CIS-BP	ENSMUSG00000027967	bHLH	NA	NA	NA
ENSMUSG00000028940_LINE94_Hes2_D	Hes2	CIS-BP	ENSMUSG00000028940	bHLH	NA	NA	NA
ENSMUSG00000029238_LINE96_Clock_D	Clock	CIS-BP	ENSMUSG00000029238	bHLH	NA	NA	NA
ENSMUSG00000030001_LINE99_Figla_D	Figla	CIS-BP	ENSMUSG00000030001	bHLH	NA	NA	NA
ENSMUSG00000030103_LINE100_Bhlhe40_D_N5	Bhlhe40	CIS-BP	ENSMUSG00000030103	bHLH	NA	NA	NA
ENSMUSG00000030256_LINE106_Bhlhe41_D	Bhlhe41	CIS-BP	ENSMUSG00000030256	bHLH	NA	NA	NA
ENSMUSG00000030543_LINE107_Mesp2_I	Mesp2	CIS-BP	ENSMUSG00000030543	bHLH	NA	NA	NA
ENSMUSG00000030544_LINE108_Mesp1_I	Mesp1	CIS-BP	ENSMUSG00000030544	bHLH	NA	NA	NA
ENSMUSG00000032228_LINE109_Tcf12_D_N1	Tcf12	CIS-BP	ENSMUSG00000032228	bHLH	NA	NA	NA
ENSMUSG00000032744_LINE111_Heyl_I	Heyl	CIS-BP	ENSMUSG00000032744	bHLH	NA	NA	NA
